"EASY", "고정교학운등", "운정고등학교", "장소"
"EASY", "드이트케보스", "스케이트보드", "사물"
"EASY", "림이스아크", "아이스크림", "음식"
"EASY", "류정스장버", "버스정류장", "장소"
"EASY", "리메노아카", "아메리카노", "음식"
"EASY", "카남리화아국프공", "남아프리카공화국", "나라"
"EASY", "음치김밥볶", "김치볶음밥", "음식"
"EASY", "늘다쥐람하", "하늘다람쥐", "동물"
"EASY", "파스맨더이", "스파이더맨", "인물"
"EASY", "공정기기청", "공기청정기", "사물"

"NORMAL", "가장이", "강아지", "동물"
"NORMAL", "오다리", "라디오", "사물"
"NORMAL", "과거쇼", "교과서", "사물"
"NORMAL", "추지장하자", "지하주차장", "장소"
"NORMAL", "타인아슌이", "아인슈타인", "인물"
"NORMAL", "영간", "안경", "사물"
"NORMAL", "너일라인", "어린이날", "기념일"
"NORMAL", "매바돔", "도마뱀", "동물" 
"NORMAL", "염짠자", "짜장면", "음식"
"NORMAL", "띵꺼복", "떡볶이", "음식"

"HARD", "에전진자리", "전자레인지", "사물"
"HARD", "닭수거해요", "서울대학교", "장소"
"HARD", "숭피중당에", "장수풍뎅이", "동물"
"HARD", "뭄풍화산권", "문화상품권", "사물"
"HARD", "정상라민", "만리장성", "장소"
"HARD", "극강효도", "고등학교", "장소"
"HARD", "좌오댕셍", "세종대왕", "인물"
"HARD", "시트웝초", "스톱워치", "사물"
"HARD", "이라으토스", "오스트리아", "나라"
"HARD", "두리안츠히키", "후라이드치킨", "음식"
